Wrong,Right
...., UNKNOWN
`DODGE,DODGE
`LINC,LINCOLN
`TOYOTA,TOYOTA
0LDS, OLDSMOBILE
1=TOYT, TOYOTA
2000XK8, JAGUAR
A CURA, ACCURA
A URA,ACCURA
ACCO, ACCORD
ACCU, ACCURA
ACCUR, ACCURA
ACCURA,ACURA
ACIRA,ACCURA
ACORA,ACURA
ACRA,ACCURA
ACRU, ACURA
ACRU,ACURA
ACRUA,ACCURA
ACRURA, ACCURA
ACUA,ACURA
ACUA,ACURA
ACUAR,ACURA
ACUARA,ACURA
ACUFRA,ACURA
ACUIRA,ACURA
ACUIRA,ACURA
ACUR, ACCURA
ACURA 4S, ACCURA
ACURA TK, ACCURA
ACURA TL, ACCURA
ACURA, ACCURA
ACURA4DR, ACCURA
ACURS,ACCURA
ACURU, ACCURA
ACURUA, ACCURA
ACYRA,ACCURA
ACYUA,ACCURA
ADILLAC,CADILLAC
ADILLCA,CADILLAC
ADUI, AUDI
AIDI,AUDI
ALFA,ALFA ROMEO
APRILLA, APRILLIA
ASTRO MARTIN, ASTON MARTIN
AUDD, AUDI
AUDO, AUDI
AUDU, AUDI
AUID, AUDI
AUIDI, AUDI
B=HYUNDAI, HYUNDAI
BEAMER, BMW
BEND, BENTLEY
BENT, BENTLEY
BENTLY, BENTLEY
BENZ, MERCEDES BENZ
BRMR,BMW
BUEL,BUELL
BUIC, BUICK
BUIK, BUICK
CADALIC,CADILLAC
CADALLAC,CADILLAC
CADALLIC,CADILLAC
CADDI,CADILLAC
CADDILAC,CADILLAC
CADI, CADILLAC
CADIL,CADILLAC
CADILAC,CADILLAC
CADILAC,CADILLAC
CADILLIAC,CADILLAC
CEHVROLET,CHEVROLET
CEHVY,CHEVROLET
CHECY,CHEVROLET
CHEROLET,CHEVROLET
CHEV, CHEVROLET
CHEVE,CHEVROLET
CHEVERLOT,CHEVROLET
CHEVEROLET,CHEVROLET
CHEVEY,CHEVROLET
CHEVOLET,CHEVROLET
CHEVORLET, CHEVROLET
CHEVR,CHEVROLET
CHEVRLET,CHEVROLET
CHEVY, CHEVROLET
CHEVY,CHEVROLET
CHEVYROLET,CHEVROLET
CHRISLER,CHRYSLER
CHRSYLER,CHRYSLER
CHRY,CHRYSLER
CHRYLSER,CHRYSLER
CHRYS, CHRYSLER
CHRYSTLER, CHRYSLER
CHVROLET,CHEVROLET
CHVY,CHEVROLET
CHYR,CHRYSLER
CHYRSLER,CHRYSLER
CHYS,CHEVROLET
CHYSLER,CHRYSLER
CRYS,CHRYSLER
CRYSLER,CHRYSLER
CRYSTLER,CHRYSLER
DAEW,DAEWOO
DIDGE,DODGE
DODG,DODGE
DOGDE,DODGE
DOGE,DODGE
DUCA,DUCATTI
DUCATI,DUCATTI
EX, UNKNOWN
EXUS,LEXUS
FIRD,FORD
FOED,FORD
FORK,FORD
FPRD,FORD
FREI,FREIGHTLINER
FREIGHT,FREIGHTLINER
